map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-AANP,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.984375,0.9843749999999998,0.9872826467470138
H51-AANP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.705078125,0.7050781249999999,0.7440850431505321
H51-AANP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.994140625,0.9941406249999998,0.9952317823890993
H51-AANP,tianjin-latest-free.shp-gis_osm_railways_free_1,0.505859375,0.5058593749999999,0.5538915378873415
H51-AANP,tianjin-latest-free.shp-gis_osm_roads_free_1,0.69140625,0.6914062499999999,0.7303049451893056
H51-AANP,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.70703125,0.7070312499999999,0.7451354521028867
H51-AANP,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.9765625,0.9765624999999998,0.9808002761072402
H51-AANP,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.7109375,0.7109374999999999,0.7492284881492686
H51-AANP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.9921875,0.9921874999999998,0.9936356121857463
H51-AANP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.646484375,0.6464843749999999,0.6926505931631681
H51-AANP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.625,0.6249999999999999,0.6714652102688402
H51-AGNP,H51-BOUA,0.25390625,0.25390624999999994,0.2905994699720768
H51-AGNP,H51-BOUL,0.607421875,0.6074218749999999,0.6568770253489208
H51-AGNP,H51-BOUP,0.982421875,0.9824218749999998,0.9856928196185967
H51-AGNP,H51-BRGA,0.64453125,0.6445312499999999,0.6931201803551708
H51-AGNP,H51-BRGL,0.642578125,0.6425781249999999,0.6892216298306773
H51-AGNP,H51-BRGP,0.998046875,0.9980468749999998,0.9984126984126986
H51-AGNP,H51-CPTL,0.634765625,0.6347656249999999,0.684172319121686
H51-AGNP,H51-HFCA,0.68359375,0.6835937499999999,0.729758950361852
H51-AGNP,H51-HFCL,0.646484375,0.6464843749999999,0.6922191880180303
H51-AGNP,H51-HFCP,0.982421875,0.9824218749999998,0.9856315407139623
H51-AGNP,H51-HYDA,0.2109375,0.21093749999999994,0.24343979454577497
H51-AGNP,H51-HYDL,0.662109375,0.6621093749999999,0.7063664464931318
H51-AGNP,H51-HYDP,1.0,0.9999999999999998,1.0000000000000002
H51-AGNP,H51-LFCL,0.681640625,0.6816406249999999,0.7227641798688509
H51-AGNP,H51-LFCP,0.99609375,0.9960937499999998,0.9968216095175163
H51-AGNP,H51-LRDL,0.630859375,0.6308593749999999,0.6762034325933893
H51-AGNP,H51-LRRL,0.53515625,0.5351562499999999,0.5863257642179084
H51-AGNP,H51-RESA,0.671875,0.6718749999999999,0.7184924765173845
H51-AGNP,H51-RESP,1.0,0.9999999999999998,1.0000000000000002
H51-AGNP,H51-RFCA,0.71875,0.7187499999999999,0.7609517849690735
H51-AGNP,H51-RFCP,0.99609375,0.9960937499999998,0.9968216095175163
H51-AGNP,H51-TERL,0.3203125,0.32031249999999994,0.3701713954735861
H51-AGNP,H51-TERP,0.99609375,0.9960937499999998,0.9968216095175163
H51-AGNP,H51-VEGA,0.388671875,0.3886718749999999,0.4373593902272422
H51-AGNP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.697265625,0.6972656249999999,0.7361850126613889
H51-AGNP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.701171875,0.7011718749999999,0.7396331860228006
H51-AGNP,tianjin-latest-free.shp-gis_osm_natural_free_1,0.998046875,0.9980468749999998,0.9984126984126986
H51-AGNP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.71484375,0.7148437499999999,0.7529788166624689
H51-AGNP,tianjin-latest-free.shp-gis_osm_places_free_1,0.99609375,0.9960937499999998,0.9968216095175163
H51-AGNP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.712890625,0.7128906249999999,0.750942969815514
H51-AGNP,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.982421875,0.9824218749999998,0.9856928196185967
H51-AGNP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.703125,0.7031249999999999,0.7423705614842867
H51-AGNP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.99609375,0.9960937499999998,0.9968216095175163
H51-AGNP,tianjin-latest-free.shp-gis_osm_railways_free_1,0.50390625,0.5039062499999999,0.5520990086385151
H51-AGNP,tianjin-latest-free.shp-gis_osm_roads_free_1,0.689453125,0.6894531249999999,0.7285743647504683
H51-AGNP,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.705078125,0.7050781249999999,0.7434145850079609
H51-AGNP,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.978515625,0.9785156249999998,0.9824055138750099
H51-AGNP,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.708984375,0.7089843749999999,0.747514006483023
H51-AGNP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.994140625,0.9941406249999998,0.9952279769488644
H51-AGNP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.64453125,0.6445312499999999,0.6909361114969227
H51-AGNP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.623046875,0.6230468749999999,0.669734629830003
H51-BOUA,H51-BOUL,0.56640625,0.5664062499999999,0.6217949033809601
