claimed_map,query_map,recovered_logo_nc,accept_at_nominal_0_90
H51-BOUL,tianjin-latest-free.shp-gis_osm_places_free_1,0.6573712302616691,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.7805248117198654,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.6625338315464466,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7682733253465361,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_pois_free_1,0.6573712302616691,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_railways_free_1,0.8151923738621536,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_roads_free_1,0.8177206745238951,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.7772104813091654,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.6410076600216331,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.7752385563321692,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_transport_free_1,0.6551529386682149,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.8186396114429162,0
H51-BOUL,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.9207878746497293,1
H51-BOUP,H51-AANP,0.987252130115083,1
H51-BOUP,H51-AGNP,0.9856572155268518,1
H51-BOUP,H51-BOUA,0.2920378116368124,0
H51-BOUP,H51-BOUL,0.6610817276358169,0
H51-BOUP,H51-BRGA,0.6994896098482909,0
H51-BOUP,H51-BRGL,0.6935094392551117,0
H51-BOUP,H51-BRGP,0.987252130115083,1
H51-BOUP,H51-CPTL,0.691421356383712,0
H51-BOUP,H51-HFCA,0.7357277699488601,0
H51-BOUP,H51-HFCL,0.7011915310401359,0
H51-BOUP,H51-HFCP,0.9711987435832479,1
H51-BOUP,H51-HYDA,0.24707846545181067,0
H51-BOUP,H51-HYDL,0.7130250379948678,0
H51-BOUP,H51-HYDP,0.9856572155268518,1
H51-BOUP,H51-LFCL,0.7327368898279503,0
H51-BOUP,H51-LFCP,0.9824481715277259,1
H51-BOUP,H51-LRDL,0.6845261969658809,0
H51-BOUP,H51-LRRL,0.590455868203306,0
H51-BOUP,H51-RESA,0.7252388847475946,0
H51-BOUP,H51-RESP,0.9856572155268518,1
H51-BOUP,H51-RFCA,0.7679494545517724,0
H51-BOUP,H51-RFCP,0.9888470447033141,1
H51-BOUP,H51-TERL,0.369989751514484,0
H51-BOUP,H51-TERP,0.9888470447033141,1
H51-BOUP,H51-VEGA,0.4365345998506931,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7454414820281057,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.7481770562928439,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_natural_free_1,0.987252130115083,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.7613888759851238,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_places_free_1,0.9824481715277259,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.7593743152420621,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_pofw_free_1,1.0000000000000002,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7502155823270249,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.9824481715277259,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_railways_free_1,0.5610616548826468,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_roads_free_1,0.7387317012080149,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_traffic_a_free_1,0.7529101579897438,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_traffic_free_1,0.9679583739650832,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.7559766672991446,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_transport_free_1,0.9808506948260548,1
H51-BOUP,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.6969511734449634,0
H51-BOUP,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.6755057765007135,0
H51-BRGA,H51-AANP,0.6939494136524981,0
H51-BRGA,H51-AGNP,0.6922443782381185,0
H51-BRGA,H51-BOUA,0.5859138325360549,0
H51-BRGA,H51-BOUL,0.926023181944883,1
H51-BRGA,H51-BOUP,0.6977940381619046,0
H51-BRGA,H51-BRGL,0.9095565982999779,1
H51-BRGA,H51-BRGP,0.6939494136524981,0
H51-BRGA,H51-CPTL,0.9353065227023637,1
H51-BRGA,H51-HFCA,0.9419904294043493,1
H51-BRGA,H51-HFCL,0.9308546072419867,1
H51-BRGA,H51-HFCP,0.6814633695906308,0
H51-BRGA,H51-HYDA,0.5451338077457121,0
H51-BRGA,H51-HYDL,0.879777585583741,0
H51-BRGA,H51-HYDP,0.6922443782381185,0
H51-BRGA,H51-LFCL,0.8471993191117351,0
H51-BRGA,H51-LFCP,0.6918075520516023,0
H51-BRGA,H51-LRDL,0.8851235555611835,0
H51-BRGA,H51-LRRL,0.8721547122562577,0
H51-BRGA,H51-RESA,0.9615374228940048,1
H51-BRGA,H51-RESP,0.6922443782381185,0
H51-BRGA,H51-RFCA,0.9186981003364245,1
H51-BRGA,H51-RFCP,0.6939494136524981,0
H51-BRGA,H51-TERL,0.6229538883631525,0
